week,rank,title_name,platform_name,developer_name,title_id,platform_id,developer_id,title_url,platform_url,developer_url,genre,weekly_sales,total_sales,week_num
42771,40,Rainbow Six: Siege,PS4,Ubisoft,82933,69,1750,http://www.vgchartz.com/game/82933/tom-clancys-rainbow-six-siege/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/1750/ubisoft/,Shooter,Pro,N/A,62
42771,41,Dragon Quest VIII: Journey of the Cursed King,3DS,Square Enix,85894,42,1567,http://www.vgchartz.com/game/85894/dragon-quest-viii-journey-of-the-cursed-king/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1567/square-enix/,Role-Playing,Pro,N/A,3
42771,42,Overwatch,PS4,Activision,86157,69,47,http://www.vgchartz.com/game/86157/overwatch/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/47/activision/,Shooter,Pro,N/A,37
42771,43,DiRT Rally,PS4,Codemasters,86260,69,318,http://www.vgchartz.com/game/86260/dirt-rally/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/318/codemasters/,Racing,Pro,N/A,44
42771,44,Minecraft: PlayStation 4 Edition,PS4,Sony Computer Entertainment America,75586,69,13891,http://www.vgchartz.com/game/75586/minecraft/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/13891/sony-computer-entertainment-america/,Misc,Pro,N/A,122
42771,45,Mario Kart 7,3DS,Nintendo,45691,42,1167,http://www.vgchartz.com/game/45691/mario-kart-7/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Racing,Pro,N/A,270
42771,46,The Elder Scrolls V: Skyrim,XOne,Bethesda Softworks,119947,68,192,http://www.vgchartz.com/game/119947/the-elder-scrolls-v-skyrim/,http://www.vgchartz.com/platform/68/xbox-one/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Role-Playing,Pro,N/A,15
42771,47,The Elder Scrolls V: Skyrim,PS4,Bethesda Softworks,119946,69,192,http://www.vgchartz.com/game/119946/the-elder-scrolls-v-skyrim/,http://www.vgchartz.com/platform/69/playstation-4/,http://www.vgchartz.com/companies/192/bethesda-softworks/,Role-Playing,Pro,N/A,15
42771,48,Super Smash Bros. for Nintendo 3DS,3DS,Nintendo,73239,42,1167,http://www.vgchartz.com/game/73239/super-smash-bros-for-wii-u-and-3ds/,http://www.vgchartz.com/platform/42/nintendo-3ds/,http://www.vgchartz.com/companies/1167/nintendo/,Fighting,Pro,N/A,123
42771,49,Battlefield 1,PC,Electronic Arts,110845,48,474,http://www.vgchartz.com/game/110845/battlefield-1/,http://www.vgchartz.com/platform/48/microsoft-windows/,http://www.vgchartz.com/companies/474/electronic-arts/,Shooter,Pro,N/A,16
